market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
USP-S | Jawbreaker (Minimal Wear),591810046972430971,40776974291,9.54,8.3,0.14462864398956,325,,830,124,2003,467
USP-S | Jawbreaker (Minimal Wear),541140658095841823,51763676933,9.61,8.37,0.14597915112972,965,,837,124,2003,467
USP-S | Jawbreaker (Minimal Wear),499481727369974098,51763493490,9.61,8.37,0.14533925056458,755,,837,124,2003,467
USP-S | Jawbreaker (Minimal Wear),499481727369974242,51762754068,9.61,8.37,0.13816684484482,157,,837,124,2003,467
USP-S | Jawbreaker (Minimal Wear),499481727369974350,51761683789,9.61,8.37,0.14630478620529,225,,837,124,2003,467
Glock-18 | Block-18 (Factory New),657112241571958642,52730257960,2.78,2.42,0.06714759021997,576,,242,36,2003,991
Glock-18 | Block-18 (Factory New),505115754149302621,52770563452,2.79,2.43,0.06283513456583,314,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754149307733,52770563448,2.79,2.43,0.06633829325438,110,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754149298193,52770563455,2.79,2.43,0.06637632846832,611,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754149305321,52770563450,2.79,2.43,0.06954891979694,828,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754149306509,52770563449,2.79,2.43,0.06318794190884,574,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964680095,52770034902,2.79,2.43,0.06930324435234,189,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964676351,52770034906,2.79,2.43,0.06972443312407,981,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964680995,52770034901,2.79,2.43,0.06938049942255,45,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964683011,52769706033,2.79,2.43,0.06627099215984,617,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964682399,52770034899,2.79,2.43,0.06987915188074,246,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964677575,52770034905,2.79,2.43,0.06942801177502,877,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964683983,52769706032,2.79,2.43,0.06961683183908,186,,243,36,2003,991
Glock-18 | Block-18 (Factory New),503989854964681643,52770034900,2.79,2.43,0.06907039135695,475,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754151876801,52770563440,2.79,2.43,0.0639262124896,343,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754151879249,52770563438,2.79,2.43,0.0693489536643,910,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754151868629,52770563446,2.79,2.43,0.06708420813084,181,,243,36,2003,991
Glock-18 | Block-18 (Factory New),505115754151870609,52770563445,2.79,2.43,0.06110070645809,626,,243,36,2003,991
