market_hash_name,listing_id,asset_id,ask,ask_seller_net,float_value,paint_seed,asset_properties_json,converted_price,converted_fee,converted_currencyid,scm_total_listings
Galil AR | Rainbow Spoon (Minimal Wear),650344708427029745,50123227607,393.14,341.87,0.12736441195011,70,,34187.0,5127,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),644719809049765263,48740528435,670.0,582.61,0.13690891861916,579,,58261.0,8739,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),738159927890251606,48888654737,854.68,743.2,0.1075608804822,720,,74320.0,11148,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),596305411417818541,43154074852,930.0,808.7,0.14357990026474,620,,80870.0,12130,2003.0,111
Galil AR | Rainbow Spoon (Minimal Wear),659354440436685194,50573317326,1530.0,1330.44,0.07097145169973,303,,133044.0,19956,2003.0,111
M4A1-S | Guardian (Field-Tested),627831217914361316,16137703792,32.15,27.97,0.21185408532619,148,,2797.0,418,2003.0,89
M4A1-S | Guardian (Field-Tested),659356415326893574,51045793444,32.21,28.01,0.18880085647106,886,,2801.0,420,2003.0,89
M4A1-S | Guardian (Field-Tested),659356415321114854,28513076770,33.76,29.37,0.3467278778553,487,,2937.0,439,2003.0,89
M4A1-S | Guardian (Field-Tested),627831217914604640,51031775565,34.29,29.82,0.21486228704453,14,,2982.0,447,2003.0,89
M4A1-S | Guardian (Field-Tested),591801811374488960,50115326344,34.29,29.82,0.23986715078354,432,,2982.0,447,2003.0,89
M4A1-S | Guardian (Field-Tested),598557211237450647,28932441298,34.5,30.0,0.20066890120506,688,,3000.0,450,2003.0,89
M4A1-S | Guardian (Field-Tested),628954689767110099,50016768549,35.23,30.64,0.20618380606174,785,,3064.0,459,2003.0,89
M4A1-S | Guardian (Field-Tested),627830511272874110,50626802300,35.34,30.74,0.20958745479584,404,,3074.0,460,2003.0,89
M4A1-S | Guardian (Field-Tested),591801811359370832,2493079242,35.88,31.2,0.19561165571213,98,,3120.0,468,2003.0,89
M4A1-S | Guardian (Field-Tested),653726915749794279,49944347895,36.37,31.63,0.21827498078346,145,,3163.0,474,2003.0,89
M4A1-S | Guardian (Field-Tested),628955776956657140,10349390515,37.18,32.34,0.18325710296631,22,,3234.0,484,2003.0,89
M4A1-S | Guardian (Field-Tested),779821295132219593,1423535204,37.34,32.48,0.35815688967705,828,,3248.0,486,2003.0,89
M4A1-S | Guardian (Field-Tested),653726915734373211,51268751002,37.91,32.98,0.36066499352455,448,,3298.0,493,2003.0,89
